metric,timestamp,value,job,mode,instance,,,
static_memory_bytes,2026-05-04T06:17:24.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:29.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:34.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:39.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:44.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:49.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:54.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:17:59.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:04.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:09.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:14.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:19.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:24.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:29.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:34.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:39.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:44.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:49.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:54.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:18:59.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:04.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:09.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:14.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:19.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:24.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:29.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:34.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:39.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:44.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:49.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:54.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:19:59.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:04.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:09.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:14.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:19.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:24.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:29.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
static_memory_bytes,2026-05-04T06:20:34.354000+00:00,338923520,load-forecast-static,,static-service:8000,,,
