metric,timestamp,value,job,mode,instance
static_rolling_mae,2026-05-04T06:17:14.354000+00:00,2987.529280833334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:19.354000+00:00,3512.991712708334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:24.354000+00:00,3954.559956458334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:29.354000+00:00,4181.232747083334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:34.354000+00:00,4412.079703958334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:39.354000+00:00,4697.388843125001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:44.354000+00:00,4996.249446875,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:49.354000+00:00,5648.909857291667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:54.354000+00:00,6059.398667083334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:17:59.354000+00:00,6275.759694583333,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:04.354000+00:00,6496.038956666667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:09.354000+00:00,6512.546425,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:14.354000+00:00,6238.09148,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:19.354000+00:00,5948.899019791667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:24.354000+00:00,5730.944312916666,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:29.354000+00:00,5558.421741875,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:34.354000+00:00,5494.55688875,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:39.354000+00:00,5274.232624375,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:44.354000+00:00,4756.355234791667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:49.354000+00:00,4324.138840416666,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:54.354000+00:00,3993.7070525,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:18:59.354000+00:00,3761.4622270833333,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:04.354000+00:00,3555.999130625,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:09.354000+00:00,3335.400048541667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:14.354000+00:00,3093.004180208333,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:19.354000+00:00,3050.040516458333,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:24.354000+00:00,3208.9286585416667,load-forecast-static,static,static-service:8000
